rank,winter,djf_anomaly_c
1,1877-78,2.48
2,2015-16,2.45
3,1982-83,2.38
4,1997-98,2.32
5,1888-89,1.75
6,2023-24,1.69
7,1972-73,1.66
8,1991-92,1.66
9,1925-26,1.51
10,2009-10,1.50
11,1930-31,1.45
12,1899-00,1.44
13,1896-97,1.43
14,1918-19,1.41
15,1940-41,1.41
16,1957-58,1.40
17,1902-03,1.25
18,1965-66,1.17
19,1911-12,1.15
20,1986-87,1.15
21,1994-95,1.08
22,2002-03,1.03
23,1905-06,0.95
24,1968-69,0.91
25,1939-40,0.90
26,1941-42,0.83
27,1963-64,0.82
28,1913-14,0.81
29,1977-78,0.80
30,1904-05,0.78
31,1914-15,0.77
32,1923-24,0.73
33,2018-19,0.73
34,1987-88,0.73
35,1976-77,0.71
36,2014-15,0.67
37,2006-07,0.63
38,1900-01,0.60
39,2019-20,0.57
40,1919-20,0.56
41,1969-70,0.56
42,1979-80,0.55
43,2004-05,0.53
44,1929-30,0.48
45,1951-52,0.47
46,1958-59,0.44
47,1935-36,0.43
48,1990-91,0.40
49,1885-86,0.39
50,1876-77,0.37
51,1887-88,0.35
52,1927-28,0.34
53,1884-85,0.28
54,1953-54,0.28
55,1895-96,0.28
56,2003-04,0.28
57,1992-93,0.27
58,1880-81,0.26
59,1936-37,0.23
60,1947-48,0.23
61,1946-47,0.12
62,1937-38,0.11
63,1989-90,0.11
64,1978-79,0.10
65,1948-49,0.08
66,1926-27,0.07
67,1993-94,0.05
68,1952-53,0.04
69,1920-21,0.00
70,1960-61,-0.00
71,1981-82,-0.00
72,1928-29,-0.05
73,1959-60,-0.06
74,1883-84,-0.06
75,1907-08,-0.07
76,1912-13,-0.14
77,1980-81,-0.16
78,2001-02,-0.18
79,1961-62,-0.19
80,1943-44,-0.20
81,1932-33,-0.21
82,1934-35,-0.22
83,1891-92,-0.25
84,2016-17,-0.26
85,1931-32,-0.26
86,2013-14,-0.29
87,1915-16,-0.29
88,2012-13,-0.30
89,1962-63,-0.33
90,1944-45,-0.34
91,1901-02,-0.34
92,1996-97,-0.34
93,1921-22,-0.35
94,1945-46,-0.38
95,1966-67,-0.43
96,1881-82,-0.43
97,1890-91,-0.44
98,1956-57,-0.44
99,1897-98,-0.46
100,1878-79,-0.47
101,1906-07,-0.48
102,1974-75,-0.49
103,1870-71,-0.51
104,1894-95,-0.54
105,1922-23,-0.54
106,1971-72,-0.55
107,1882-83,-0.55
108,1967-68,-0.55
109,1910-11,-0.57
110,1985-86,-0.59
111,1871-72,-0.61
112,1964-65,-0.64
113,1995-96,-0.65
114,1924-25,-0.68
115,1898-99,-0.72
116,1874-75,-0.72
117,1954-55,-0.72
118,2022-23,-0.72
119,1983-84,-0.73
120,1908-09,-0.75
121,1917-18,-0.77
122,2000-01,-0.78
123,1938-39,-0.78
124,2005-06,-0.79
125,2017-18,-0.80
126,1903-04,-0.82
127,2021-22,-0.82
128,2011-12,-0.83
129,2008-09,-0.85
130,1909-10,-0.86
131,1872-73,-0.86
132,1873-74,-0.88
133,1879-80,-0.89
134,1950-51,-0.94
135,1875-76,-0.94
136,2020-21,-0.96
137,1933-34,-0.97
138,1886-87,-1.02
139,1893-94,-1.04
140,1984-85,-1.09
141,1892-93,-1.17
142,1942-43,-1.18
143,1955-56,-1.21
144,1949-50,-1.23
145,1970-71,-1.26
146,1998-99,-1.45
147,1916-17,-1.46
148,1975-76,-1.48
149,2010-11,-1.50
150,1999-00,-1.60
151,2007-08,-1.67
152,1988-89,-1.74
153,1973-74,-1.88
154,1889-90,-1.92
