site_no,site_name,window_label,enso_label,date,mean_daily_cfs,approval_status
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-21,64.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-11-03,61.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-12-03,89.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-09-23,45.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-12-16,87.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-27,72.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-22,64.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-09-02,45.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-12,72.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-10-29,66.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-10-07,34.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-01-24,102.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-09-26,45.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-12-20,80.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-11-28,93.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-09-01,45.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-09-24,45.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-11-27,95.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-13,72.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1925-11-19,109.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1926,1925-26 El Nino,1926-02-16,70.0,Approved
