site_no,site_name,window,enso_label,parameter,time_utc,value,approval_status
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T03:30:00+00:00,2490.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T03:15:00+00:00,2480.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T03:45:00+00:00,2470.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T03:00:00+00:00,2460.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T04:00:00+00:00,2460.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T04:15:00+00:00,2450.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T02:45:00+00:00,2430.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T04:30:00+00:00,2420.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T02:30:00+00:00,2410.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF1998,1997-98 El Nino,discharge_cfs,1998-02-01T04:45:00+00:00,2400.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-30T15:00:00+00:00,43100.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-30T15:15:00+00:00,42500.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-30T15:30:00+00:00,40400.0,Approved
08167500,"Guadalupe Rv nr Spring Branch, TX",DJF2016,2015-16 El Nino,discharge_cfs,2015-10-30T14:45:00+00:00,40000.0,Approved
